TROPHOSPECIES	ABBREVIATION	PHYLUM_SUBPYLUM	CLASS	ORDER	FAMILY	GROUP
DETRITUS	DET_IND	Detritus	Detritus	Detritus	Detritus	1_Plankton
AUTOTHROPH_FLAGELLAT	AUT_FLA	Autotroph flagellates	Autotroph flagellates	Autotroph flagellates	Autotroph flagellates	1_Plankton
BACTERIA_INDET	BAC_IND	Picoplankton	Picoplankton	Picoplankton	Picoplankton	1_Plankton
DIATOM	DIATOM	Microplankton	Microplankton	Microplankton	Microplankton	1_Plankton
HETEROTROPH_FLAGELLAT	HET_FLA	Heterotroph flagellates	Heterotroph flagellates	Heterotroph flagellates	Heterotroph flagellates	1_Plankton
ICE_ALGAE	ICE_ALG	Ice algae	Ice algae	Ice algae	Ice algae	1_Plankton
MACROALGAE	MAC_IND	Macroalgae	Macroalgae	Macroalgae	Macroalgae	1_Plankton
MIXOTROPH_FLAGELLATES	MIX_FLA	Mixotroph flagellates	Mixotroph flagellates	Mixotroph flagellates	Mixotroph flagellates	1_Plankton
PHYTOPLANKTON_INDET	PHY_IND	Phytoplankton	Phytoplankton	Phytoplankton	Phytoplankton	1_Plankton
PROTOZOOPLANKTON	PROZOO	Microplankton	Microplankton	Microplankton	Microplankton	1_Plankton
ACARTIA_SPP	ACA_SPP	Crustacea	Copepoda	Calanoida	Acartiidae	1_Plankton
AGLANTHA_DIGITALE	AGL_DIG	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	1_Plankton
APHERUSA_GLACIALIS	APH_GLA	Crustacea	Malacostraca	Amphipoda/Gammarida	Calliopiidae	1_Plankton
AURELIA_AURITA	AUR_AUR	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	1_Plankton
BEROè_SP	BER_SP	Ctenophora	Nuda	Beroida	Beroidae	1_Plankton
BOLINOPSIS_INFUNDIBULUM	BOL_INF	Ctenophora	Tentaculata	Lobata	Bolinopsidae	1_Plankton
CALANUS_FINMARCHICUS	CAL_FIN	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CALANUS_GLACIALIS	CAL_GLA	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CALANUS_HYPERBOREUS	CAL_HYP	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CLIONE_LIMACINA	CLI_LIM	Mollusca	Gastropoda	Gymnosomata	Clionidae	1_Plankton
CYANEA_CAPILLATA	CYA_CAP	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	1_Plankton
DIMOPHYES_ARCTICA	DIM_ARC	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	1_Plankton
EUKROHNIA_HAMATA	EUK_HAM	Cnidaria	Sagittoidea	Phragmophora	Eukrohniidae	1_Plankton
EUPHYSA_FLAMMEA	EUP_FLAM	Cnidaria	Hydrozoa	Anthoathecata	Corymorphidae	1_Plankton
FRITILLARIA_BOREALIS	FRI_BOR	Tunicata	Appendicularia	Copelata	Fritillariidae	1_Plankton
GAMMARUS_WILKITZKII	GAM_WIL	Crustacea	Malacostraca	Amphipoda/Gammaridea	Gammaridae	1_Plankton
LIMACINA_HELICINA	LIM_HEL	Mollusca	Gastropoda	Thecosomata	Limacinidae	1_Plankton
LIMACINA_RETROVERSA	LIM_RET	Mollusca	Gastropoda	Thecosomata	Limacinidae	1_Plankton
MEGANYCTIPHANES_NORVEGICA	MEG_NOR	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
MERTENSIA_OVUM	MER_OVU	Ctenophora	Tentaculata	Cydippida	Mertensiidae	1_Plankton
METRIDIA_LONGA	MET_LON	Crustacea	Copepoda	Calanoida	Metridinidae	1_Plankton
METRIDIA_LUCENS	MET_LUC	Crustacea	Copepoda	Calanoida	Metridinidae	1_Plankton
MICROCALANUS_SPP	MIC_SPP	Crustacea	Copepoda	Calanoida	Clausocalanidae	1_Plankton
NEMATOSCELIS_MEGALOPS	NEM_MEG	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
OIKOPLEURA_DIOICA	OIK_DIO	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
OIKOPLEURA_SPP	OIK_SPP	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
OIKOPLEURA_VANHOEFFENI	OIK_VAN	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
OITHONA_SIMILIS	OIT_SPI	Crustacea	Copepoda	Cyclopoida	Oithonidae	1_Plankton
OITHONA_SPINIROSTRIS/ATLANTICA	OIT_SIM	Crustacea	Copepoda	Cyclopoida	Oithonidae	1_Plankton
ONCAEA_BOREALIS	ONC_BOR	Crustacea	Copepoda	Poecilostomatoida	Oncaeidae	1_Plankton
ONISIMUS_GLACIALIS	ONI_GLA	Crustacea	Malacostraca	Amphipoda/Gammaridea	Uristidae	1_Plankton
ONISIMUS_NANSENI	ONI_NAN	Crustacea	Malacostraca	Amphipoda/Gammaridea	Uristidae	1_Plankton
PAREUCHAETA_GLACIALIS	PAR_GLA	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
PAREUCHAETA_NORVEGICA	PAR_NOR	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
PAREUCHAETA_SPP	PAR_SPP	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
PSEUDOCALANUS_SPP	PSE_SPP	Crustacea	Copepoda	Calanoida	Clausocalanidae	1_Plankton
SAGITTA_SPP	SAG_SPP	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	1_Plankton
SARSIA_SPP	SAR_SPP	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	1_Plankton
THEMISTO_ABYSSORUM	THE_ABY	Crustacea	Malacostraca	Amphipoda/Hyperiidea	Hyperiidae	1_Plankton
THEMISTO_LIBELLULA	THE_LIB	Crustacea	Malacostraca	Amphipoda/Hyperiidea	Hyperiidae	1_Plankton
THYSANOESSA_INERMIS	THY_INE	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_LONGICAUDATA	THY_LON	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_RASCHII	THY_RAS	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
ACTINIARIA_G_SP	ACT_G_SP	Cnidaria	Anthozoa	Actiniaria	NA	2_Benthos
AGLAOPHAMUS_MALMGRENI	AGL_MAL	Annelida	Polychaeta	Phyllodocida	Nephtyidae	2_Benthos
