AUTHOR_YEAR	FULL_REFERENCE
Aarefjord et al. 1995	Aarefjord, H., Bjørge, AJ, Kinze, CC, and Lindstedt, I. 1995. Diet of the harbour porpoise (Phocoena phocoena) in Scandinavian waters. Report of the International Whaling Commission, special issue 16: 211–222.
Acuña & Zamponi 1996	Acuña, F.H. and Zamponi, M. O. 1996. Trophic ecology of the intertidal sea anemones, Phymactis clematis Dana, 1849, Aulactina marplatensis (Zamponi,1977) and A. reynaudi (Milne-Edwards,1857) (Actiniaria:Actiniidae): Relationships between sea anemones and their prey
Agersted et al. 2011	Agersted, M. D., Nielsen, Torkel G., Munk, P. Vismann, B., Arendt, K. E. 2011. The functional biology and trophic role of krill (Thysanoessa raschii) in a Greenlandic fjord. Marine biology. 158: 1387-1402
Agnalt 2011	Agnalt, A-L., Pavlov, V., Jørstad, K. E., Farestveit, E., Sundet, J. 2011. (Book) The Snow Crab, Chionoecetes opilio (Decapoda, Majoidea, Oregoniidae) in the Barents Sea. In the Wrong Place-Alien Marine Crustaceans: Distribution, Biology and Impacts. pp. 283-200. Springer
Aguilar 2009	Aguilar, A. 2009. Fin whale: Balaenoptera physalus. In Encyclopedia of marine mammals, 2nd edn, pp. 433-437. Ed. by W. F. PERRIN, H. G. M. THEWISSEN, and B. WÜRSING. Academic Press/Elsevier, Amsterdam.
Ahn et al. 2009	Ahn, I-Y., Ji, J., Park, H. 2009. Metal accumulation in sea urchins and their kelp diet in an Arctic fjord (Kongsfjorden, Svalbard). Marine pollution bulletin. 58: 1571-1577                    
Ajiad & Gjøsæter 1990	Ajiad, A. M., and Gjøsæter, H. 1990. Diet of polar cod, Boreogadus saida, in the Barents Sea related to fish size and geographical distribution. ICES CM, 1990/G: 48: 9pp.
Ajiad & Pushchaeva 1992	Ajiad, A. M., and Pushchaeva, T. Y. 1992. The daily feeding dynamics in various length groups of the Barents Sea capelin. In PINRO-IMR Symposium, pp. 181-192. Murmansk.
Albert 1993	Albert, O. T. 1993. Distribution, Population-Structure and Diet of Silvery Pout (Gadiculus argenteus - Thori Schmidt, J.), Poor Cod (Trisopterus minutus minutus, L), Bearded Rockling (Rhinonemus cimbrius, L), and Vahls Eelpout (Lycodes vahlii gracilis, Reinhardt) in the Norwegian Deep. Sarsia, 78: 141-154.
Albert 1995	Albert, O. T. 1995. Diel changes in food and feeding of small gadoids on a coastal bank. ICES Journal of Marine Science, 52: 873-886.
