PWKEY	AUTHOR_YEAR
ACA_SPP-ACA_SPP	Turner 1984
ACA_SPP-AUT_FLA	Kleppel 1993
ACA_SPP-DIATOM	Kleppel 1993
ACA_SPP-HET_FLA	Kleppel 1993
ACA_SPP-MIX_FLA	Kleppel 1993
ACA_SPP-PROZOO	Kleppel 1993
ACT_G_SP-AUT_FLA	Acuña & Zamponi 1996
ACT_G_SP-DIATOM	Acuña & Zamponi 1996
ACT_G_SP-GAM_IND	Acuña & Zamponi 1996
ACT_G_SP-HET_FLA	Acuña & Zamponi 1996
ACT_G_SP-MAC_IND	Acuña & Zamponi 1996
ACT_G_SP-POL_IND	Acuña & Zamponi 1996
AGL_DIG-CAL_FIN	Matsakis & Conover 1991
AGL_DIG-OIT_SIM	Matsakis & Conover 1991
AGL_MAL-POL_IND	Fauchald & Jumars 1979
AGO_CAT-CHL_ISL	Klimpel et al. 2003
AGO_CAT-GAM_IND	Klimpel et al. 2003
AGO_CAT-OPH_ACU	Klimpel et al. 2003
AGO_CAT-OPH_BID	Klimpel et al. 2003
AGO_CAT-OPH_SER	Klimpel et al. 2003
AGO_CAT-OPH_SP	Klimpel et al. 2003
AGO_CAT-OST_IND	Klimpel et al. 2003
AGO_CAT-PAG_SP	Klimpel et al. 2003
AGO_CAT-POL_IND	Klimpel et al. 2003
AGO_CAT-THE_ABY	Klimpel et al. 2003
AGO_CAT-THE_LIB	Klimpel et al. 2003
AGO_CAT-THY_INE	Klimpel et al. 2003
AGO_CAT-THY_LON	Klimpel et al. 2003
ALL_ALL-ACA_SPP	Karnovsky & Hunt 2002
ALL_ALL-ACA_SPP	Weslawski et al. 1999
ALL_ALL-APH_GLA	Karnovsky & Hunt 2002
ALL_ALL-BEN_LAR	Weslawski et al. 1999
ALL_ALL-CAL_FIN	Weslawski et al. 1999
ALL_ALL-CAL_GLA	Harding et al. 2009
ALL_ALL-CAL_HYP	Harding et al. 2009
ALL_ALL-CLI_LIM	Weslawski et al. 1999
ALL_ALL-FI_LA	Weslawski et al. 1999
ALL_ALL-FRI_BOR	Weslawski et al. 1999
ALL_ALL-GAM_WIL	Lønne & Gabrielsen 1992
ALL_ALL-LIM_HEL	Weslawski et al. 1999
ALL_ALL-LIM_RET	Weslawski et al. 1999
