PWKEY	PREDATOR	PREY	CODE
ACA_SPP-ACA_SPP	ACARTIA_SPP	ACARTIA_SPP	2
ACA_SPP-AUT_FLA	ACARTIA_SPP	AUTOTHROPH_FLAGELLAT	1
ACA_SPP-DIATOM	ACARTIA_SPP	DIATOM	1
ACA_SPP-HET_FLA	ACARTIA_SPP	HETEROTROPH_FLAGELLAT	1
ACA_SPP-MIX_FLA	ACARTIA_SPP	MIXOTROPH_FLAGELLATES	4
ACA_SPP-PROZOO	ACARTIA_SPP	PROTOZOOPLANKTON	1
ACT_G_SP-AUT_FLA	ACTINIARIA_G_SP	AUTOTHROPH_FLAGELLAT	4
ACT_G_SP-DIATOM	ACTINIARIA_G_SP	DIATOM	4
ACT_G_SP-GAM_IND	ACTINIARIA_G_SP	GAMMARIDAE_INDET	1
ACT_G_SP-HET_FLA	ACTINIARIA_G_SP	HETEROTROPH_FLAGELLAT	4
ACT_G_SP-MAC_IND	ACTINIARIA_G_SP	MACROALGAE	1
ACT_G_SP-POL_IND	ACTINIARIA_G_SP	POLYCHAETA	1
AGL_DIG-CAL_FIN	AGLANTHA_DIGITALE	CALANUS_FINMARCHICUS	1
AGL_DIG-OIT_SIM	AGLANTHA_DIGITALE	OITHONA_SPINIROSTRIS/ATLANTICA	1
AGL_DIG-ONC_BOR	AGLANTHA_DIGITALE	ONCAEA_BOREALIS	4
AGL_MAL-LUM_MIN	AGLAOPHAMUS_MALMGRENI	LUMBRICLYMENE_MINOR	3
AGL_MAL-LUM_SP	AGLAOPHAMUS_MALMGRENI	LUMBRINERIS_SP	3
AGL_MAL-POL_IND	AGLAOPHAMUS_MALMGRENI	POLYCHAETA	1
AGL_MAL-POLY_IND	AGLAOPHAMUS_MALMGRENI	POLYNOIDAE_INDET	3
AGO_CAT-CHL_ISL	AGONUS_CATAPHRACTUS	CHLAMYS_ISLANDICA	1
AGO_CAT-GAM_IND	AGONUS_CATAPHRACTUS	GAMMARIDAE_INDET	1
AGO_CAT-OPH_ACU	AGONUS_CATAPHRACTUS	OPHIOPHOLIS_ACULEATA	4
AGO_CAT-OPH_BID	AGONUS_CATAPHRACTUS	OPHIACANTHA_BIDENTATA	4
AGO_CAT-OPH_SER	AGONUS_CATAPHRACTUS	OPHIOCTEN_SERICEUM	4
